TxPower_dBm,Energy_J,EnergyEfficiency_bitsPerJoule
20,25414.8,14870.4
21,25469.2,14838.6
22,25537.7,14798.8
23,25623.9,14749.1
24,25732.4,14686.8
25,25869,14609.3
26,26041,14512.8
27,26257.6,14393.1
28,26530.2,14245.2
29,26873.4,14063.3
30,27305.4,13840.8
31,27849.3,13570.5
32,28534.1,13244.8
33,29396.1,12856.4
34,30481.3,12398.7
35,31847.6,11866.8
36,33567.6,11258.7
37,35732.9,10576.5
38,38458.9,9826.79
39,41890.8,9021.75
40,46211.2,8178.27
41,51650.3,7317.05
42,58497.8,6460.55
43,67118.2,5630.78
44,77970.6,4847.06
45,91633.1,4124.36
46,108833,3472.55
47,130487,2896.3
48,157747,2395.79
49,192065,1967.71